Id;date;order_number;place;t_c;order_count;branch
413;21 февр. 2024 г.;80050;1;Самовывоз;1;Купи Флакон
414;21 февр. 2024 г.;80100;3;Самовывоз;1;Купи Флакон
415;21 февр. 2024 г.;80070;1;Самовывоз;1;Купи Флакон
416;22 февр. 2024 г.;80229;1;Boxberry;1;Купи Флакон
417;22 февр. 2024 г.;80248;1;Самовывоз;1;Купи Флакон
418;22 февр. 2024 г.;0;38;Озон;38;Маркетплейс
419;22 февр. 2024 г.;80175;1;Сдек;1;Купи Флакон
420;22 февр. 2024 г.;80042;1;Сдек;1;Купи Флакон
421;22 февр. 2024 г.;80068;1;Сдек;1;Купи Флакон
422;22 февр. 2024 г.;80005;1;Сдек;1;Купи Флакон
423;22 февр. 2024 г.;80079;1;Сдек;1;Купи Флакон
424;22 февр. 2024 г.;80152;1;Сдек;1;Купи Флакон
425;22 февр. 2024 г.;80218;1;Сдек;1;Купи Флакон
426;22 февр. 2024 г.;80159;1;Сдек;1;Купи Флакон
427;22 февр. 2024 г.;80044;1;Сдек;1;Купи Флакон
428;22 февр. 2024 г.;80179;1;Сдек;1;Купи Флакон
429;22 февр. 2024 г.;80246;1;Самовывоз;1;Купи Флакон
430;26 февр. 2024 г.;80158;1;Самовывоз;1;Купи Флакон
431;26 февр. 2024 г.;80107;1;Сдек;1;Купи Флакон
432;26 февр. 2024 г.;0;57;Озон;57;Маркетплейс
433;26 февр. 2024 г.;0;46;Wildberries;46;Маркетплейс
434;27 февр. 2024 г.;0;15;Яндекс Маркет;15;Маркетплейс
435;27 февр. 2024 г.;0;57;Озон;57;Маркетплейс
436;27 февр. 2024 г.;;1;;1;Купи Флакон
437;27 февр. 2024 г.;0;1;МегаМаркет;1;Маркетплейс
438;27 февр. 2024 г.;0;1;Ярмарка мастеров;1;Маркетплейс
439;27 февр. 2024 г.;80316;1;Почта России;1;Купи Флакон
440;27 февр. 2024 г.;80268;1;Почта России;1;Купи Флакон
441;27 февр. 2024 г.;80322;1;Почта России;1;Купи Флакон
442;27 февр. 2024 г.;80138;1;Почта России;1;Купи Флакон
443;27 февр. 2024 г.;80290;1;Почта России;1;Купи Флакон
444;27 февр. 2024 г.;80262;1;Boxberry;1;Купи Флакон
445;27 февр. 2024 г.;80294;2;Boxberry;1;Купи Флакон
446;27 февр. 2024 г.;80231;4;DPD;1;Купи Флакон
447;27 февр. 2024 г.;80285;5;DPD;1;Купи Флакон
448;28 февр. 2024 г.;80274;1;Сдек;1;Купи Флакон
449;28 февр. 2024 г.;0;7;Яндекс Маркет;7;Маркетплейс
450;28 февр. 2024 г.;80111;1;Сдек;1;Купи Флакон
451;28 февр. 2024 г.;80174;1;Сдек;1;Купи Флакон
452;28 февр. 2024 г.;80257;1;Сдек;1;Купи Флакон
453;28 февр. 2024 г.;80259;1;Сдек;1;Купи Флакон
454;28 февр. 2024 г.;80260;1;Сдек;1;Купи Флакон
455;28 февр. 2024 г.;80269;1;Сдек;1;Купи Флакон
456;28 февр. 2024 г.;80266;1;Сдек;1;Купи Флакон
457;28 февр. 2024 г.;80265;1;Сдек;1;Купи Флакон
458;28 февр. 2024 г.;80263;1;Сдек;1;Купи Флакон
459;28 февр. 2024 г.;80164;1;Самовывоз;1;Купи Флакон
460;28 февр. 2024 г.;80363;3;Самовывоз;1;Купи Флакон
461;28 февр. 2024 г.;80333;1;Boxberry;1;Купи Флакон
462;28 февр. 2024 г.;80293;1;Boxberry;1;Купи Флакон
463;28 февр. 2024 г.;80370;1;Сдек;1;Купи Флакон
464;28 февр. 2024 г.;80330;1;Сдек;1;Купи Флакон
465;28 февр. 2024 г.;80296;1;Сдек;1;Купи Флакон
466;28 февр. 2024 г.;80132;1;Сдек;1;Купи Флакон
467;29 февр. 2024 г.;0;1;Ярмарка мастеров;1;Маркетплейс
468;29 февр. 2024 г.;0;4;Яндекс Маркет;4;Маркетплейс
469;29 февр. 2024 г.;80376;1;DPD;1;Купи Флакон
470;29 февр. 2024 г.;0;50;Озон;50;Маркетплейс
471;29 февр. 2024 г.;80249;1;Сдек;1;Купи Флакон
472;29 февр. 2024 г.;80228;1;Сдек;1;Купи Флакон
473;29 февр. 2024 г.;80344;1;Сдек;1;Купи Флакон
474;29 февр. 2024 г.;80402;1;Сдек;1;Купи Флакон
475;29 февр. 2024 г.;80379;1;Почта России;1;Купи Флакон
476;29 февр. 2024 г.;80394;1;Сдек;1;Купи Флакон
477;29 февр. 2024 г.;77315;1;Сдек;1;Купи Флакон
478;29 февр. 2024 г.;80244;1;Сдек;1;Купи Флакон
479;1 мар. 2024 г.;80306;1;Сдек;1;Купи Флакон
480;1 мар. 2024 г.;80372;1;Сдек;1;Купи Флакон
481;1 мар. 2024 г.;80436;1;Сдек;1;Купи Флакон
482;1 мар. 2024 г.;80401;1;Сдек;1;Купи Флакон
483;1 мар. 2024 г.;0;46;Озон;46;Маркетплейс
484;1 мар. 2024 г.;0;3;Яндекс Маркет;3;Маркетплейс
